timestamp,robot_id,axis_id,pos_deg,current_amp,temp_cel,vibration_mm_s
2025-12-23T16:50:00,ROB-01,1,45.0,1.47,38.5,0.026
2025-12-23T16:50:00,ROB-01,2,10.0,6.64,42.1,0.149
2025-12-23T16:50:01,ROB-01,1,45.9,1.8,38.5,0.013
2025-12-23T16:50:01,ROB-01,2,9.99,8.27,42.1,0.165
2025-12-23T16:50:02,ROB-01,1,46.8,1.5,38.5,0.034
2025-12-23T16:50:02,ROB-01,2,9.97,6.94,42.1,0.124
2025-12-23T16:50:03,ROB-01,1,47.7,1.26,38.5,0.029
2025-12-23T16:50:03,ROB-01,2,9.93,6.54,42.2,0.138
2025-12-23T16:50:04,ROB-01,1,48.6,1.41,38.5,0.015
2025-12-23T16:50:04,ROB-01,2,9.87,8.43,42.2,0.16
2025-12-23T16:50:05,ROB-01,1,49.49,1.67,38.5,0.033
2025-12-23T16:50:05,ROB-01,2,9.79,6.54,42.2,0.127
2025-12-23T16:50:06,ROB-01,1,50.39,1.92,38.5,0.031
2025-12-23T16:50:06,ROB-01,2,9.7,6.65,42.2,0.105
2025-12-23T16:50:07,ROB-01,1,51.28,1.95,38.5,0.018
2025-12-23T16:50:07,ROB-01,2,9.59,6.75,42.2,0.146
2025-12-23T16:50:08,ROB-01,1,52.17,1.9,38.5,0.033
2025-12-23T16:50:08,ROB-01,2,9.47,6.92,42.2,0.127
2025-12-23T16:50:09,ROB-01,1,53.06,1.9,38.5,0.029
2025-12-23T16:50:09,ROB-01,2,9.33,7.14,42.2,0.136
2025-12-23T16:50:10,ROB-01,1,53.94,1.74,38.5,0.027
2025-12-23T16:50:10,ROB-01,2,9.17,7.39,42.2,0.13
2025-12-23T16:50:11,ROB-01,1,54.82,1.62,38.5,0.017
2025-12-23T16:50:11,ROB-01,2,9.0,7.18,42.3,0.148
2025-12-23T16:50:12,ROB-01,1,55.7,1.9,38.5,0.01
2025-12-23T16:50:12,ROB-01,2,8.82,7.07,42.3,0.138
2025-12-23T16:50:13,ROB-01,1,56.57,1.8,38.5,0.033
2025-12-23T16:50:13,ROB-01,2,8.61,7.34,42.3,0.136
2025-12-23T16:50:14,ROB-01,1,57.44,1.81,38.5,0.018
2025-12-23T16:50:14,ROB-01,2,8.4,6.4,42.3,0.117
2025-12-23T16:50:15,ROB-01,1,58.3,1.65,38.5,0.011
2025-12-23T16:50:15,ROB-01,2,8.16,6.91,42.3,0.106
2025-12-23T16:50:16,ROB-01,1,59.16,1.61,38.5,0.028
2025-12-23T16:50:16,ROB-01,2,7.92,8.08,42.3,0.156
2025-12-23T16:50:17,ROB-01,1,60.01,1.46,38.5,0.027
2025-12-23T16:50:17,ROB-01,2,7.66,7.55,42.3,0.133
2025-12-23T16:50:18,ROB-01,1,60.85,1.69,38.5,0.037
2025-12-23T16:50:18,ROB-01,2,7.38,7.35,42.4,0.123
